Transaction_ID,Account_ID,Amount,Time,Is_Fraud,Transaction_Frequency,Average_Transaction_Amount,Transaction_Time_Deviation,Suspicious_Account_Label
T63,A81,5450.18,18,0,7,5086.76,6,1
T64,A80,6479.87,17,0,8,4313.12,5,0
T65,A47,9085.03,6,0,8,5937.14125,6,1
T66,A74,8268.05,11,0,7,5558.737142857142,1,1
T67,A25,723.38,17,0,13,5433.03923076923,5,1
T68,A91,1667.57,9,0,7,4514.434285714286,3,0
T69,A9,3083.04,2,0,14,4713.567857142857,10,1
T70,A6,11238.135,12,0,25,8278.3455,5,1
T71,A85,5696.38,16,0,13,5129.256153846154,4,1
T72,A30,2893.22,14,0,10,5117.564,2,1
T73,A99,1878.435,17,0,27,8718.80375,10,1
T74,A38,6889.89,8,0,7,5405.907142857143,4,1
T75,A11,7000.34,19,0,11,6381.582727272727,7,1
T76,A30,9427.34,21,0,10,5117.564,9,1
T77,A13,5009.72,19,0,8,6105.9262499999995,7,1
T78,A49,4943.01,3,0,13,3498.369230769231,9,1
T79,A36,813.61,4,0,16,3547.711875,8,1
T80,A59,408.21,3,0,13,5202.203846153846,9,1
T81,A82,4325.97,12,0,11,3879.7218181818184,0,1
T82,A47,3229.99,11,0,8,5937.14125,1,1
T83,A21,2511.18,10,0,13,5466.449230769231,2,1
T84,A48,922.36,17,0,8,5036.998750000001,5,1
T85,A46,9619.49,11,0,8,7117.0575,1,1
T86,A27,8361.23,4,0,7,6403.712857142857,8,1
T87,A86,5756.24,6,0,16,5208.98375,6,1
T88,A35,9508.35,19,0,11,5521.192727272727,7,1
T89,A90,9995.73,16,0,13,5612.052307692307,4,1
T90,A88,6726.09,12,0,9,4829.727777777778,0,0
T91,A83,2702.42,16,0,9,5427.044444444445,4,1
T92,A10,411.91,1,0,10,4844.211,11,1
T93,A78,7565.13,1,1,11,5513.804545454545,11,1
T94,A82,4710.3,1,0,11,3879.7218181818184,11,1
T95,A22,6518.58,4,0,7,6019.110000000001,8,1
T96,A69,9161.57,22,0,14,5133.897142857143,10,1
T97,A94,1823.08,10,0,10,4531.981000000001,2,0
T98,A32,5857.44,15,0,20,4933.135499999999,3,1
T99,A21,6351.5,16,0,13,5466.449230769231,4,1
T100,A60,4922.34,14,0,13,6159.910769230769,2,1
T101,A49,921.51,4,0,13,3498.369230769231,8,1
T102,A35,3486.13,19,0,11,5521.192727272727,7,1
T103,A82,3339.75,16,0,11,3879.7218181818184,4,1
T104,A89,6704.63,4,0,9,5387.504444444445,8,1
T105,A72,8578.75,10,0,10,5840.468,2,1
T106,A29,3304.74,19,0,14,5571.065714285714,7,1
T107,A88,6939.8,10,0,9,4829.727777777778,2,0
T108,A42,2889.3,5,0,8,6320.3575,7,1
T109,A99,14178.72,12,0,27,8718.80375,5,1
T110,A100,8137.52,19,0,8,4672.7612500000005,7,1
T111,A8,5505.47,23,0,10,4789.126,11,1
T112,A30,4553.71,9,0,10,5117.564,3,1
T113,A5,3152.03,18,0,6,6171.066666666667,6,1
T114,A41,3239.51,10,0,11,4032.712727272727,2,1
T115,A52,14553.224999999999,16,0,28,7058.672307692307,9,1
T116,A35,4047.71,16,0,11,5521.192727272727,4,1
T117,A9,5150.82,17,0,14,4713.567857142857,5,1
T118,A28,9881.31,15,0,15,4897.166,3,1
T119,A73,6580.03,22,0,10,6778.88,10,1
T120,A92,5430.51,18,0,11,6073.983636363637,6,1
T121,A41,4138.34,9,0,11,4032.712727272727,3,1
T122,A28,1883.95,15,0,15,4897.166,3,1
T123,A84,3624.18,0,0,11,4807.995454545454,12,1
T124,A64,7566.87,11,0,4,5833.415,1,1
T125,A51,6257.83,10,0,4,3772.8149999999996,2,0
T126,A83,7602.31,21,1,9,5427.044444444445,9,1
T127,A59,2043.55,3,0,13,5202.203846153846,9,1
T128,A19,5496.7,13,0,4,5539.5,1,1
T129,A34,9277.45,18,0,17,4573.92411764706,6,1
T130,A18,6580.17,9,0,23,4880.01,8,1
T131,A32,6985.52,23,0,20,4933.135499999999,11,1
T132,A96,1223.05,22,0,12,4297.670833333334,10,1
T133,A72,9731.74,20,0,10,5840.468,8,1
T134,A69,6092.63,0,0,14,5133.897142857143,12,1
T135,A34,2400.58,19,0,17,4573.92411764706,7,1
T136,A96,1592.2,15,0,12,4297.670833333334,3,1
T137,A75,5512.88,8,0,12,3326.8741666666665,4,1
T138,A55,5526.99,20,0,15,4489.224,8,1
T139,A75,941.16,18,0,12,3326.8741666666665,6,1
T140,A52,14883.974999999999,18,0,28,7058.672307692307,11,1
T141,A47,9130.17,7,0,8,5937.14125,5,1
T142,A29,4619.86,23,0,14,5571.065714285714,11,1
T143,A18,1775.2350000000001,1,0,23,4880.01,16,1
T144,A66,8323.11,18,0,7,4142.637142857143,6,0
T145,A64,4988.77,15,0,4,5833.415,3,1
T146,A12,7168.87,5,0,9,3851.8277777777776,7,1
T147,A97,5093.63,16,0,13,5373.866153846155,4,1
T148,A7,2741.51,20,0,8,5172.64375,8,1
T149,A15,8348.89,23,0,11,5531.051818181818,11,1
T150,A20,9802.64,19,0,11,4443.7472727272725,7,1
T151,A81,2444.87,12,1,7,5086.76,0,1
T152,A21,5517.14,4,0,13,5466.449230769231,8,1
T153,A88,3842.02,21,0,9,4829.727777777778,9,1
T154,A55,9219.46,7,0,15,4489.224,5,1
T155,A77,5087.33,1,0,10,5425.8589999999995,11,1
T156,A9,8794.47,18,0,14,4713.567857142857,6,1
T157,A50,12962.445,22,0,23,9743.004375,15,1
T158,A49,2769.71,3,0,13,3498.369230769231,9,1
T159,A77,7902.16,6,0,10,5425.8589999999995,6,1
T160,A60,4155.27,0,0,13,6159.910769230769,12,1
T161,A68,9343.14,14,0,8,6334.655,2,1
T162,A33,5082.3,10,0,6,3474.6633333333334,2,0
T163,A71,8207.29,13,0,14,6108.2,1,1
T164,A2,2835.56,4,0,7,5020.28,8,1
T165,A88,2992.57,13,0,9,4829.727777777778,1,0
T166,A93,5873.51,22,0,11,4353.373636363636,10,1
T167,A15,9989.03,6,0,11,5531.051818181818,6,1
T168,A88,4901.51,13,0,9,4829.727777777778,1,0
T169,A69,1494.47,16,0,14,5133.897142857143,4,1
T170,A97,5390.42,19,0,13,5373.866153846155,7,1
T171,A35,3457.79,15,0,11,5521.192727272727,3,1
T172,A99,8285.474999999999,23,0,27,8718.80375,16,1
T173,A83,5438.87,23,0,9,5427.044444444445,11,1
T174,A44,6838.335000000001,1,0,26,6873.118636363636,16,1
T175,A15,3224.56,22,0,11,5531.051818181818,10,1
T176,A38,1894.64,4,0,7,5405.907142857143,8,1
T177,A56,6978.01,16,0,12,6100.080833333333,4,1
T178,A21,5722.26,6,0,13,5466.449230769231,6,1
T179,A59,2343.29,17,0,13,5202.203846153846,5,1
T180,A1,7757.69,10,0,10,6174.63,2,1
T181,A93,446.04,21,0,11,4353.373636363636,9,1
T182,A93,7449.6,15,0,11,4353.373636363636,3,1
T183,A34,7055.23,16,1,17,4573.92411764706,4,1
T184,A65,8115.97,12,0,10,6853.116,0,1
T185,A98,3866.93,10,0,10,6770.950999999999,2,1
T186,A23,6640.25,5,1,7,3467.808571428571,7,1
T187,A65,8209.27,14,0,10,6853.116,2,1
T188,A14,9808.37,17,0,13,5203.632307692308,5,1
T189,A81,4958.33,10,0,7,5086.76,2,1
T190,A39,569.745,17,0,24,7987.513333333332,10,1
T191,A82,5027.89,11,0,11,3879.7218181818184,1,1
T192,A65,5905.9,21,0,10,6853.116,9,1
T193,A78,8698.31,23,0,11,5513.804545454545,11,1
T194,A26,13114.74,21,0,23,5584.485,14,1
T195,A20,4408.66,20,0,11,4443.7472727272725,8,1
T196,A48,5264.25,22,0,8,5036.998750000001,10,1
T197,A98,4574.71,8,0,10,6770.950999999999,4,1
T198,A21,7227.21,19,0,13,5466.449230769231,7,1
T199,A70,4105.69,15,0,13,4566.172307692307,3,1
T200,A100,6551.27,6,0,8,4672.7612500000005,6,0
T201,A68,1552.07,7,0,8,6334.655,5,1
T202,A1,4700.21,8,0,10,6174.63,4,1
T203,A77,9692.34,17,0,10,5425.8589999999995,5,1
T204,A42,3392.23,9,0,8,6320.3575,3,1
T205,A63,6930.12,7,0,13,4587.743846153846,5,1
T206,A3,6501.87,9,0,6,5731.3966666666665,3,1
T207,A15,8519.14,9,0,11,5531.051818181818,3,1
T208,A47,8524.89,22,0,8,5937.14125,10,1
T209,A40,8594.83,6,0,10,6721.728999999999,6,1
T210,A31,3806.29,22,0,13,5864.717692307692,10,1
T211,A8,3173.44,22,0,10,4789.126,10,1
T212,A31,7189.99,15,0,13,5864.717692307692,3,1
T213,A73,7596.42,10,0,10,6778.88,2,1
T214,A11,8725.11,15,0,11,6381.582727272727,3,1
T215,A11,368.63,11,0,11,6381.582727272727,1,1
T216,A94,693.52,17,0,10,4531.981000000001,5,0
T217,A63,6315.3,23,0,13,4587.743846153846,11,1
T218,A9,9210.08,8,0,14,4713.567857142857,4,1
T219,A98,9974.28,9,0,10,6770.950999999999,3,1
T220,A69,7470.2,3,1,14,5133.897142857143,9,1
T221,A99,6518.07,18,0,27,8718.80375,11,1
T222,A17,993.45,21,0,10,6542.4800000000005,9,1
T223,A17,6341.14,17,0,10,6542.4800000000005,5,1
T224,A85,8727.07,12,0,13,5129.256153846154,0,1
T225,A61,4442.35,12,0,11,4226.511818181818,0,1
T226,A71,6943.07,11,1,14,6108.2,1,1
T227,A22,9035.21,4,0,7,6019.110000000001,8,1
T228,A34,469.45,9,0,17,4573.92411764706,3,1
T229,A68,7963.47,1,0,8,6334.655,11,1
T230,A78,2940.74,9,0,11,5513.804545454545,3,1
T231,A55,3754.66,22,0,15,4489.224,10,1
T232,A28,1464.24,2,0,15,4897.166,10,1
T233,A70,5316.35,11,0,13,4566.172307692307,1,1
T234,A97,5663.62,14,0,13,5373.866153846155,2,1
T235,A94,7927.27,20,0,10,4531.981000000001,8,1
T236,A89,1708.14,8,0,9,5387.504444444445,4,1
T237,A26,1198.335,23,0,23,5584.485,16,1
T238,A92,8709.69,15,0,11,6073.983636363637,3,1
T239,A40,6200.91,6,0,10,6721.728999999999,6,1
T240,A52,3623.835,6,0,28,7058.672307692307,11,1
T241,A86,9129.16,17,0,16,5208.98375,5,1
T242,A84,1439.75,8,0,11,4807.995454545454,4,1
T243,A48,4616.89,17,0,8,5036.998750000001,5,1
T244,A57,3820.8450000000003,22,1,23,7540.610625,15,1
T245,A67,2560.71,8,0,7,5409.528571428571,4,1
T246,A58,103.88,4,1,7,4044.154285714286,8,1
T247,A16,8048.28,3,0,8,5821.07875,9,1
T248,A32,9013.08,19,0,20,4933.135499999999,7,1
T249,A29,6779.33,23,0,14,5571.065714285714,11,1
T250,A9,1588.18,18,0,14,4713.567857142857,6,1
T251,A44,6634.32,7,0,26,6873.118636363636,10,1
T252,A3,3462.2,7,0,6,5731.3966666666665,5,1
T253,A76,8819.76,1,0,23,4435.786875,16,1
T254,A71,6393.0,21,0,14,6108.2,9,1
T255,A30,4248.85,16,0,10,5117.564,4,1
T256,A76,3762.7200000000003,7,0,23,4435.786875,10,1
T257,A29,8454.59,20,0,14,5571.065714285714,8,1
T258,A1,2000.18,7,0,10,6174.63,5,1
T259,A10,3853.09,1,0,10,4844.211,11,1
T260,A91,4837.25,3,0,7,4514.434285714286,9,1
T261,A81,2379.68,13,0,7,5086.76,1,1
T262,A8,5723.51,10,0,10,4789.126,2,0
T263,A30,5752.37,22,0,10,5117.564,10,1
T264,A9,9926.99,15,0,14,4713.567857142857,3,1
T265,A5,2959.36,3,0,6,6171.066666666667,9,1
T266,A43,9779.67,21,0,10,4775.514,9,1
T267,A10,6585.72,4,0,10,4844.211,8,1
T268,A66,2752.06,0,0,7,4142.637142857143,12,1
T269,A31,5663.63,17,0,13,5864.717692307692,5,1
T270,A36,6861.14,5,0,16,3547.711875,7,1
T271,A86,7449.24,13,0,16,5208.98375,1,1
T272,A63,499.95,20,0,13,4587.743846153846,8,1
T273,A28,6068.0,15,0,15,4897.166,3,1
T274,A70,4972.31,15,0,13,4566.172307692307,3,1
T275,A17,9042.51,20,0,10,6542.4800000000005,8,1
T276,A93,2869.08,6,0,11,4353.373636363636,6,1
T277,A74,7990.61,9,0,7,5558.737142857142,3,1
T278,A74,6074.58,10,0,7,5558.737142857142,2,1
T279,A61,3529.69,9,0,11,4226.511818181818,3,1
T280,A32,6369.81,20,0,20,4933.135499999999,8,1
T281,A61,6212.7,1,0,11,4226.511818181818,11,1
T282,A53,6780.87,2,0,9,6192.9,10,1
T283,A25,7212.07,20,0,13,5433.03923076923,8,1
T284,A13,6595.22,18,0,8,6105.9262499999995,6,1
T285,A13,8384.99,7,0,8,6105.9262499999995,5,1
T286,A85,6286.2,17,0,13,5129.256153846154,5,1
T287,A56,9035.0,23,0,12,6100.080833333333,11,1
T288,A46,6466.94,23,0,8,7117.0575,11,1
T289,A55,3096.24,1,0,15,4489.224,11,1
T290,A53,4413.82,5,0,9,6192.9,7,1
T291,A60,5799.94,13,0,13,6159.910769230769,1,1
T292,A94,7326.27,5,0,10,4531.981000000001,7,1
T293,A7,910.43,1,0,8,5172.64375,11,1
T294,A87,2958.15,12,0,9,4859.406666666667,0,0
T295,A84,7477.33,15,0,11,4807.995454545454,3,1
T296,A83,1764.64,5,0,9,5427.044444444445,7,1
T297,A13,1330.28,23,0,8,6105.9262499999995,11,1
T298,A8,5398.68,9,0,10,4789.126,3,0
T299,A52,14572.77,1,0,28,7058.672307692307,16,1
T300,A94,5313.22,0,0,10,4531.981000000001,12,1
T301,A44,13703.595,9,0,26,6873.118636363636,8,1
T302,A14,8306.42,18,0,13,5203.632307692308,6,1
T303,A32,2577.13,19,0,20,4933.135499999999,7,1
T304,A25,8248.65,3,0,13,5433.03923076923,9,1
T305,A25,4823.66,10,0,13,5433.03923076923,2,1
T306,A69,8066.82,9,0,14,5133.897142857143,3,1
T307,A58,7468.13,14,0,7,4044.154285714286,2,0
T308,A18,5090.655,20,0,23,4880.01,13,1
T309,A55,1160.55,17,0,15,4489.224,5,1
T310,A24,9629.3,16,0,5,7121.564,4,1
T311,A36,1416.16,15,0,16,3547.711875,3,1
T312,A60,9665.34,4,0,13,6159.910769230769,8,1
T313,A32,8602.8,16,0,20,4933.135499999999,4,1
T314,A10,7244.92,14,0,10,4844.211,2,0
T315,A57,14699.43,8,0,23,7540.610625,9,1
T316,A71,9673.02,6,0,14,6108.2,6,1
T317,A13,8047.83,3,0,8,6105.9262499999995,9,1
T318,A7,3664.09,10,0,8,5172.64375,2,1
T319,A84,7908.91,5,0,11,4807.995454545454,7,1
T320,A70,149.05,23,0,13,4566.172307692307,11,1
T321,A2,5370.36,14,0,7,5020.28,2,1
T322,A12,4553.31,20,0,9,3851.8277777777776,8,1
T323,A97,6731.56,8,0,13,5373.866153846155,4,1
T324,A31,6726.68,22,0,13,5864.717692307692,10,1
T325,A22,5849.76,5,0,7,6019.110000000001,7,1
T326,A53,8225.95,0,0,9,6192.9,12,1
T327,A63,9403.52,23,0,13,4587.743846153846,11,1
T328,A62,1092.38,10,0,5,3838.1979999999994,2,0
T329,A28,2345.88,9,0,15,4897.166,3,1
T330,A52,390.0,18,0,28,7058.672307692307,11,1
T331,A8,8843.51,21,0,10,4789.126,9,1
T332,A22,5618.46,6,0,7,6019.110000000001,6,1
T333,A49,9153.41,5,0,13,3498.369230769231,7,1
T334,A1,2221.46,19,0,10,6174.63,7,1
T335,A50,962.31,20,0,23,9743.004375,13,1
T336,A34,8240.31,12,1,17,4573.92411764706,0,1
T337,A59,9094.78,13,0,13,5202.203846153846,1,1
T338,A37,3028.88,16,0,7,4505.89,4,0
T339,A55,4088.88,10,0,15,4489.224,2,1
T340,A90,1406.37,2,0,13,5612.052307692307,10,1
T341,A94,9463.15,12,0,10,4531.981000000001,0,0
T342,A72,3050.6,21,0,10,5840.468,9,1
T343,A85,4931.32,3,0,13,5129.256153846154,9,1
T344,A92,980.95,5,0,11,6073.983636363637,7,1
T345,A63,8873.72,4,0,13,4587.743846153846,8,1
T346,A20,1365.28,15,0,11,4443.7472727272725,3,1
T347,A25,4541.9,10,0,13,5433.03923076923,2,1
T348,A38,6708.16,7,0,7,5405.907142857143,5,1
T349,A28,7433.97,0,0,15,4897.166,12,1
T350,A8,9460.28,8,0,10,4789.126,4,0
T351,A75,4197.08,12,0,12,3326.8741666666665,0,1
T352,A95,7425.27,7,0,12,5788.974166666667,5,1
T353,A70,1553.68,14,0,13,4566.172307692307,2,1
T354,A8,4154.7,8,0,10,4789.126,4,0
T355,A96,999.23,10,1,12,4297.670833333334,2,1
T356,A41,4898.58,9,0,11,4032.712727272727,3,1
T357,A8,4087.08,18,0,10,4789.126,6,0
T358,A7,9515.7,23,0,8,5172.64375,11,1
T359,A75,336.84,18,0,12,3326.8741666666665,6,1
T360,A62,3711.59,0,0,5,3838.1979999999994,12,1
T361,A65,4439.4,8,0,10,6853.116,4,1
T362,A68,9506.05,20,0,8,6334.655,8,1
T363,A21,8555.95,11,0,13,5466.449230769231,1,1
T364,A8,1002.55,22,1,10,4789.126,10,1
T365,A66,6859.95,7,0,7,4142.637142857143,5,0
T366,A11,5449.21,1,0,11,6381.582727272727,11,1
T367,A24,9778.65,21,0,5,7121.564,9,1
T368,A9,3593.15,3,0,14,4713.567857142857,9,1
T369,A77,3987.42,14,0,10,5425.8589999999995,2,1
T370,A9,1906.19,9,0,14,4713.567857142857,3,1
T371,A87,1230.38,5,0,9,4859.406666666667,7,1
T372,A31,8481.85,12,0,13,5864.717692307692,0,1
T373,A52,6828.945,21,0,28,7058.672307692307,14,1
T374,A16,6631.06,16,0,8,5821.07875,4,1
T375,A73,6420.63,22,0,10,6778.88,10,1
T376,A32,5975.49,9,0,20,4933.135499999999,3,1
T377,A75,223.36,22,0,12,3326.8741666666665,10,1
T378,A77,7870.08,3,0,10,5425.8589999999995,9,1
T379,A6,3664.875,20,0,25,8278.3455,13,1
T380,A80,1267.98,9,0,8,4313.12,3,0
T381,A11,5650.13,11,0,11,6381.582727272727,1,1
T382,A54,695.42,19,0,10,3609.3769999999995,7,1
T383,A85,7653.92,7,0,13,5129.256153846154,5,1
T384,A75,2079.5,7,0,12,3326.8741666666665,5,1
T385,A73,2167.35,4,0,10,6778.88,8,1
T386,A67,8698.26,15,0,7,5409.528571428571,3,1
T387,A41,3292.31,4,0,11,4032.712727272727,8,1
T388,A34,1484.07,14,0,17,4573.92411764706,2,1
T389,A27,9006.31,23,0,7,6403.712857142857,11,1
T390,A86,38.33,19,0,16,5208.98375,7,1
T391,A92,8585.48,11,0,11,6073.983636363637,1,1
T392,A41,1455.43,13,1,11,4032.712727272727,1,1
T393,A31,1308.62,22,0,13,5864.717692307692,10,1
T394,A34,2514.04,17,0,17,4573.92411764706,5,1
T395,A51,1753.23,15,0,4,3772.8149999999996,3,0
T396,A17,6613.97,17,0,10,6542.4800000000005,5,1
T397,A86,267.54,21,0,16,5208.98375,9,1
T398,A83,158.45,6,0,9,5427.044444444445,6,1
T399,A39,11852.925,7,0,24,7987.513333333332,10,1
T400,A59,2386.94,21,0,13,5202.203846153846,9,1
T401,A41,3244.48,19,0,11,4032.712727272727,7,1
T402,A97,1750.72,2,0,13,5373.866153846155,10,1
T403,A10,533.47,16,0,10,4844.211,4,0
T404,A2,7419.76,14,0,7,5020.28,2,1
T405,A59,5265.59,16,0,13,5202.203846153846,4,1
T406,A80,7459.2,22,0,8,4313.12,10,1
T407,A73,4767.7,11,0,10,6778.88,1,1
T408,A13,7782.39,2,0,8,6105.9262499999995,10,1
T409,A10,5137.25,18,0,10,4844.211,6,0
T410,A69,1099.45,3,0,14,5133.897142857143,9,1
T411,A28,5043.35,1,0,15,4897.166,11,1
T412,A65,9454.7,17,1,10,6853.116,5,1
T413,A34,443.22,16,0,17,4573.92411764706,4,1
T414,A17,7834.44,6,0,10,6542.4800000000005,6,1
T415,A45,8671.14,18,0,8,4022.1175000000003,6,0
T416,A9,5219.3,17,0,14,4713.567857142857,5,1
T417,A32,4585.84,4,0,20,4933.135499999999,8,1
T418,A48,9640.62,5,0,8,5036.998750000001,7,1
T419,A37,617.65,10,0,7,4505.89,2,0
T420,A21,4795.03,16,0,13,5466.449230769231,4,1
T421,A57,6033.24,14,0,23,7540.610625,7,1
T422,A70,6864.11,3,0,13,4566.172307692307,9,1
T423,A91,4907.79,21,0,7,4514.434285714286,9,1
T424,A39,13646.865,6,0,24,7987.513333333332,11,1
T425,A79,744.17,22,0,6,4600.218333333333,10,1
T426,A84,817.1,18,0,11,4807.995454545454,6,1
T427,A68,6086.89,15,0,8,6334.655,3,1
T428,A2,666.17,2,0,7,5020.28,10,1
T429,A86,2757.41,16,0,16,5208.98375,4,1
T430,A71,6334.44,14,0,14,6108.2,2,1
T431,A39,8232.119999999999,1,0,24,7987.513333333332,16,1
T432,A85,3258.6,14,0,13,5129.256153846154,2,1
T433,A14,9946.33,4,0,13,5203.632307692308,8,1
T434,A18,7965.39,16,0,23,4880.01,9,1
T435,A34,4542.62,13,0,17,4573.92411764706,1,1
T436,A15,6058.21,14,0,11,5531.051818181818,2,1
T437,A14,1000.79,18,0,13,5203.632307692308,6,1
T438,A96,7020.78,1,0,12,4297.670833333334,11,1
T439,A71,8529.4,17,0,14,6108.2,5,1
T440,A20,6512.66,14,0,11,4443.7472727272725,2,1
T441,A35,7691.94,21,0,11,5521.192727272727,9,1
T442,A37,7211.19,9,1,7,4505.89,3,0
T443,A78,2158.08,23,1,11,5513.804545454545,11,1
T444,A27,4521.03,0,0,7,6403.712857142857,12,1
T445,A92,2292.65,12,0,11,6073.983636363637,0,1
T446,A44,5093.8949999999995,8,0,26,6873.118636363636,9,1
T447,A27,4540.45,0,0,7,6403.712857142857,12,1
T448,A88,4165.74,23,0,9,4829.727777777778,11,1
T449,A82,959.91,6,0,11,3879.7218181818184,6,1
T450,A34,4273.37,18,0,17,4573.92411764706,6,1
T451,A65,6654.43,2,0,10,6853.116,10,1
T452,A63,3749.27,1,0,13,4587.743846153846,11,1
T453,A33,1534.86,13,0,6,3474.6633333333334,1,0
T454,A7,9230.62,11,0,8,5172.64375,1,1
T455,A12,680.66,22,0,9,3851.8277777777776,10,1
T456,A82,8319.4,2,0,11,3879.7218181818184,10,1
T457,A55,941.37,17,0,15,4489.224,5,1
T458,A36,974.68,1,0,16,3547.711875,11,1
T459,A6,11085.855,2,0,25,8278.3455,15,1
T460,A1,8119.58,15,0,10,6174.63,3,1
T461,A43,5568.14,1,1,10,4775.514,11,1
T462,A99,8803.185,9,0,27,8718.80375,8,1
T463,A17,5620.25,13,1,10,6542.4800000000005,1,1
T464,A82,3303.16,5,1,11,3879.7218181818184,7,1
T465,A34,1231.09,4,0,17,4573.92411764706,8,1
T466,A21,3542.44,20,0,13,5466.449230769231,8,1
T467,A95,6656.75,23,0,12,5788.974166666667,11,1
T468,A57,11258.01,20,0,23,7540.610625,13,1
T469,A71,8682.24,13,0,14,6108.2,1,1
T470,A91,7213.4,11,0,7,4514.434285714286,1,0
T471,A55,9684.3,12,0,15,4489.224,0,1
T472,A72,6008.1,14,0,10,5840.468,2,1
T473,A2,3522.95,12,0,7,5020.28,0,1
T474,A15,5783.41,12,0,11,5531.051818181818,0,1
T475,A10,2135.26,2,0,10,4844.211,10,1
T476,A89,6570.8,21,0,9,5387.504444444445,9,1
T477,A20,2250.21,21,0,11,4443.7472727272725,9,1
T478,A70,1091.1,17,0,13,4566.172307692307,5,1
T479,A5,8455.28,4,0,6,6171.066666666667,8,1
T480,A48,3681.93,20,0,8,5036.998750000001,8,1
T481,A75,7628.43,11,0,12,3326.8741666666665,1,1
T482,A71,5745.26,3,0,14,6108.2,9,1
T483,A19,8074.14,5,0,4,5539.5,7,1
T484,A56,8453.1,17,0,12,6100.080833333333,5,1
T485,A17,9745.72,12,0,10,6542.4800000000005,0,1
T486,A6,12279.119999999999,16,0,25,8278.3455,9,1
T487,A40,6139.6,4,0,10,6721.728999999999,8,1
T488,A47,6430.56,23,0,8,5937.14125,11,1
T489,A6,408.41999999999996,7,0,25,8278.3455,10,1
