visits_last_3mo,avg_basket,days_since_last_shop,used_coupons,is_member,churn
10,76.7893700903681,10,0,0,0
7,84.36389423508513,107,1,1,0
11,81.1473661075645,25,0,1,0
7,77.44394000145955,60,1,1,0
10,53.69826537611783,36,0,1,0
9,48.565079160878774,22,0,1,0
12,66.65215020648395,92,0,0,0
5,78.66256144682139,84,0,0,0
6,55.54558598446786,111,1,1,0
8,81.30343931428773,108,0,1,0
11,89.05233490972358,108,0,1,1
5,41.67358161853161,112,0,1,1
6,43.2615859240744,90,0,0,0
7,57.192498821893274,102,0,0,0
10,66.15225336378393,39,1,1,0
7,49.50865972465898,76,0,1,0
8,87.04405357734288,22,1,1,0
9,68.48133723036902,15,0,1,0
7,60.78894096481479,93,0,1,0
7,31.281809522629448,60,1,1,0
8,33.683683671449856,67,1,1,1
11,65.62018500563613,103,0,0,1
12,17.348087476903274,79,1,1,0
8,80.25274819288143,30,0,1,0
11,56.83692311255359,52,0,1,0
5,124.86185939189467,105,1,1,0
10,106.15832501232221,24,0,1,0
9,56.371018615049664,43,0,1,0
9,57.873259949373704,11,1,1,0
7,79.9116302800406,89,1,1,0
9,94.06345219836075,100,0,0,0
12,27.239418851279666,111,0,1,0
7,24.272490692906267,96,0,0,1
10,47.55930388891237,91,1,1,0
7,71.65475166347728,8,1,1,0
4,69.93747181015195,11,0,1,0
9,81.395429099677,68,0,1,0
4,36.006049432693835,53,0,0,0
7,13.677122740622465,115,1,0,1
15,77.1602839060429,53,1,0,0
10,43.43607454069531,27,1,0,0
5,19.630242712227243,55,1,1,0
7,62.901274919187635,98,0,1,0
3,75.86351376437355,68,0,1,0
3,57.55885735757445,97,0,0,1
8,50.843032276350215,109,0,0,1
9,56.81275535708187,97,0,1,0
8,52.588344751984344,76,0,0,0
4,33.03905776119666,102,1,1,0
6,45.70638646019137,105,1,1,0
7,70.42559810027629,108,0,1,1
7,66.43357082753,111,0,1,1
4,63.361196119336405,57,0,0,0
5,40.097030362932415,77,1,1,0
13,56.36993675728666,74,1,1,0
11,16.458699071142902,41,0,1,0
4,63.5695332777078,37,0,1,0
8,88.57715415627135,67,0,1,0
6,30.517357359157884,52,0,1,0
4,48.281446533644896,32,0,1,0
5,66.5821355742026,70,1,1,0
12,85.05685268854967,55,1,1,0
9,51.03550767399701,104,0,0,1
7,46.154993414682075,71,1,1,0
11,20.62153715167834,100,1,1,0
10,62.06876258616213,50,0,1,0
11,100.84152080287488,73,0,1,0
13,65.54716923929352,42,1,1,0
9,59.55442041632573,14,0,0,0
7,66.44164621533972,37,1,0,0
5,59.77815992102796,14,1,0,0
8,43.73971255479741,4,1,1,0
9,76.46559831355411,92,1,1,0
6,64.51523046223508,82,1,0,0
7,60.352265038673146,53,1,1,0
7,40.492679454435006,50,0,1,0
10,86.07015863869518,9,0,0,0
10,73.2940549066622,11,0,1,0
6,48.941583252653956,117,1,1,0
4,80.03649707363874,3,0,1,0
4,50.048583232295854,94,0,1,0
4,44.35993014977926,17,0,1,0
9,44.805937650394256,79,1,1,0
7,24.578628938238175,103,1,1,1
11,69.43084760836412,35,1,1,0
8,23.377102433233,24,0,1,0
12,35.431123374684745,86,1,0,0
10,18.488239818429335,75,1,1,0
4,58.27860614418214,97,0,1,0
3,56.99359079456256,35,0,1,0
5,53.46607573627272,100,0,0,1
10,39.14844610658847,66,1,1,0
5,36.5553249312672,8,0,1,0
4,69.28739727093148,60,0,1,0
10,48.98896136583025,52,1,0,0
6,66.3271664307229,17,0,1,0
10,42.29502627751555,42,0,1,0
11,63.62125485542165,34,1,1,0
5,86.06556074632127,62,0,1,0
8,71.72331600785567,118,1,0,1
6,51.751723635670395,97,0,0,1
9,65.14397940711855,104,1,1,0
11,55.18669650939574,77,1,0,0
13,60.157603693894565,3,0,1,0
4,53.48777895702993,92,0,1,1
8,56.71329588229218,40,1,1,0
5,64.2418670614835,44,1,1,0
11,40.132826008360986,49,1,0,0
8,39.68242346020043,78,1,1,1
3,32.229148923375774,27,0,1,1
10,27.994577909925802,41,0,1,0
12,35.65434615559042,79,1,1,0
7,63.189250136082585,75,0,1,0
8,42.14424969016232,115,0,1,0
2,70.27228928462192,68,0,0,0
6,60.694274975051236,97,0,1,0
2,20.629915731238924,105,0,1,1
11,73.09951168443379,0,1,0,0
11,76.2159729118342,38,0,0,0
8,40.122746503302935,95,0,1,0
14,68.40383085789983,89,1,0,0
13,42.87003525181602,16,1,1,0
2,61.95340753496671,111,0,1,1
12,34.710031860900685,90,0,1,0
7,24.137870949308464,87,1,0,1
9,52.34365620774063,34,1,1,0
6,57.52542107450328,45,1,1,0
8,52.04640612770792,41,1,1,0
9,36.31938883554881,117,1,0,0
7,52.00201875737726,38,0,1,0
8,65.38589505161468,89,1,1,0
6,59.10213939754926,48,0,1,0
7,63.65002061198427,61,1,0,0
10,46.59769599091534,37,1,0,0
9,83.43435829432319,22,0,1,0
9,36.47653326890439,21,0,1,0
2,69.75120594173437,3,0,0,0
6,83.63782185919924,48,0,1,0
9,69.61816185497791,58,1,0,0
4,55.9495154587034,72,0,0,1
13,49.43405906674042,67,1,1,0
8,80.72175302092512,70,0,1,0
11,31.540501494766538,86,1,1,1
6,40.597514792407125,1,1,1,0
8,52.04884469016557,48,1,1,0
7,84.75307515023997,87,0,1,0
11,67.59535272081791,103,1,1,0
8,40.639084829795095,118,0,1,1
11,53.793845892301924,94,0,1,0
2,47.713537118074115,110,0,1,1
5,45.8042201553293,30,0,0,0
5,79.57779117113559,110,1,1,0
6,32.56513741472989,39,0,0,0
12,92.17561711468747,47,1,1,0
5,76.56459380369246,50,1,1,0
7,81.81723341207396,42,0,0,0
7,50.741209759494836,97,1,1,1
13,57.001185618417814,54,0,1,0
9,31.33696370950576,87,0,1,0
8,49.50675185866394,48,0,1,0
8,69.87309695286302,89,1,1,0
4,85.92126123562792,79,1,1,0
10,37.85686366395097,56,0,1,0
13,52.68988126029468,110,0,1,0
6,56.974015595349556,76,1,1,0
9,32.084215956150295,14,0,1,0
9,71.826984835168,26,1,1,0
9,45.52019336514782,67,0,1,0
3,56.09219297645952,79,0,0,0
8,50.961012561762445,63,1,1,0
9,44.21322988560651,93,0,1,0
7,59.85910029038891,107,1,1,0
6,55.687808428639556,29,1,0,0
4,52.56284235442669,35,0,1,0
16,45.43076756639314,66,0,0,0
11,66.39049341565911,85,1,1,0
9,93.07234536984569,112,1,1,0
7,62.79774465678255,85,0,0,0
13,79.92236429822258,113,1,1,0
4,32.19556149693075,113,0,1,0
10,63.15522878587539,118,0,0,1
8,38.05263362057867,48,1,0,0
8,30.461501449361972,75,0,1,0
5,45.21257185081927,54,1,1,0
9,83.83798668827146,84,0,0,0
5,79.00031657339291,55,1,1,0
6,64.860094441088,67,0,0,0
8,29.345988802201383,94,0,1,0
5,56.074386972241264,43,1,1,0
13,66.03400017803472,30,0,0,0
11,63.51072459157196,57,0,1,0
9,23.124128330385084,86,0,1,0
6,42.19364303960256,117,0,1,1
9,58.71844471702567,52,1,1,0
9,70.7258181903438,83,0,1,0
3,16.077443578001073,78,0,0,1
7,56.75752049040283,22,0,1,0
8,62.86097539757905,27,0,1,0
8,76.99223977032426,15,0,0,0
7,73.85715168474873,36,0,1,0
6,71.6514263761761,20,0,1,0
5,44.001189865961315,78,1,1,0
10,21.839957257533847,16,1,0,0
5,52.13894485877198,113,0,1,0
8,80.0326365041712,36,0,1,0
8,87.86909055048864,76,0,1,0
8,74.2109820459557,18,0,1,0
6,68.58681645603468,29,0,1,0
8,67.5927929677193,44,0,1,0
7,48.87762506478439,17,0,1,0
10,57.3987941289276,77,0,0,0
7,93.38139051652662,61,0,1,0
8,41.14883988416247,35,0,1,0
9,92.29557581419704,99,0,1,1
8,53.55943691015883,83,0,1,0
6,86.50864218190156,51,0,1,0
9,31.863699810049233,18,0,1,0
7,71.71808402329299,108,0,1,1
8,45.26459728104756,43,0,0,0
11,31.69465616151625,6,0,1,0
7,64.37068084821891,43,0,1,0
9,80.18943577191938,116,0,1,1
8,43.10117122813007,67,0,1,0
6,30.019680790831977,33,1,1,0
6,58.163104713300896,65,0,1,1
14,58.25129342445638,68,0,1,0
12,70.96639255108997,54,1,0,0
5,78.99189142728977,9,0,1,0
12,58.81169637455012,95,0,1,0
8,97.11006629588526,41,1,1,0
7,64.48469489070584,40,1,1,0
4,53.07146987986201,76,0,1,0
5,27.76865281794344,102,0,0,1
5,54.746809593676645,68,0,1,1
4,53.272261091777274,9,0,0,0
7,79.2060959256294,9,0,0,0
9,69.24967248133709,101,0,1,0
7,36.41261756734765,90,0,1,0
6,63.44508772822075,59,1,1,0
7,73.43062343458107,50,1,1,1
4,90.56062718775665,20,0,0,0
9,77.75007934828119,7,1,1,0
10,75.21693308622956,64,0,0,0
11,61.201719892303274,91,1,1,0
11,67.76624010846899,112,0,0,0
8,84.99009801412318,102,0,0,0
10,33.34445205040701,77,0,1,0
9,53.01121345566088,84,0,1,0
8,44.548625024875186,29,0,1,0
3,67.58306237452248,84,1,0,0
5,84.60444351301575,48,1,0,0
7,48.06051426557852,8,0,0,0
7,12.193912650611239,16,0,1,0
8,51.7555850995106,68,0,1,0
5,78.26947464034814,57,1,0,0
7,70.75259805899759,56,1,1,0
7,68.56372495621153,61,1,0,0
7,54.4001339625104,94,1,1,0
7,34.41938527560427,51,0,1,0
10,70.30588643248934,60,0,1,0
7,43.3143637993075,39,0,1,0
9,103.68193466760913,37,1,1,0
7,71.41014416709032,42,0,1,0
5,48.38703394892098,62,0,1,1
8,47.772295052227435,18,1,1,0
12,58.14111586772823,99,0,1,0
4,55.209961559565,49,0,0,0
9,82.3366755105991,32,1,0,0
7,63.728323394880924,12,0,0,0
9,45.36736522182944,77,0,0,0
10,97.80881370311565,119,1,1,0
6,60.986166630404455,96,1,1,0
11,75.37679351937794,61,1,1,1
6,47.83546985110482,92,0,0,0
9,67.26231255489047,42,0,1,0
9,66.2221998228639,48,1,1,0
7,22.207014158076944,35,0,0,0
7,100.3055022092128,107,0,1,0
8,85.81288921845095,9,1,1,0
12,52.05609367708025,94,0,1,0
7,37.95460519088289,5,0,1,0
4,66.95123227607104,56,0,1,0
7,61.73395398828793,0,0,1,0
7,67.11337897126458,70,0,1,0
7,63.83154792388179,57,0,1,0
5,70.12481978611852,90,1,0,0
7,88.94611398783613,20,1,0,0
