Transaction_ID,Account_ID,Amount,Time,Is_Fraud
T98,A32,5857.44,15,0
T99,A21,6351.5,16,0
T100,A60,4922.34,14,0
T101,A49,921.51,4,0
T102,A35,3486.13,19,0
T103,A82,3339.75,16,0
T104,A89,6704.63,4,0
T105,A72,8578.75,10,0
T106,A29,3304.74,19,0
T107,A88,6939.8,10,0
T108,A42,2889.3,5,0
T109,A99,9452.48,12,0
T110,A100,8137.52,19,0
T111,A8,5505.47,23,0
T112,A30,4553.71,9,0
T113,A5,3152.03,18,0
T114,A41,3239.51,10,0
T115,A52,9702.15,16,0
T116,A35,4047.71,16,0
T117,A9,5150.82,17,0
T118,A28,9881.31,15,0
T119,A73,6580.03,22,0
T120,A92,5430.51,18,0
T121,A41,4138.34,9,0
T122,A28,1883.95,15,0
T123,A84,3624.18,0,0
T124,A64,7566.87,11,0
T125,A51,6257.83,10,0
T126,A83,7602.31,21,1
T127,A59,2043.55,3,0
T128,A19,5496.7,13,0
T129,A34,9277.45,18,0
T130,A18,4386.78,9,0
T131,A32,6985.52,23,0
T132,A96,1223.05,22,0
T133,A72,9731.74,20,0
T134,A69,6092.63,0,0
T135,A34,2400.58,19,0
T136,A96,1592.2,15,0
T137,A75,5512.88,8,0
T138,A55,5526.99,20,0
T139,A75,941.16,18,0
T140,A52,9922.65,18,0
T141,A47,9130.17,7,0
T142,A29,4619.86,23,0
T143,A18,1183.49,1,0
T144,A66,8323.11,18,0
T145,A64,4988.77,15,0
T146,A12,7168.87,5,0
T147,A97,5093.63,16,0
T148,A7,2741.51,20,0
T149,A15,8348.89,23,0
T150,A20,9802.64,19,0
T151,A81,2444.87,12,1
T152,A21,5517.14,4,0
T153,A88,3842.02,21,0
T154,A55,9219.46,7,0
T155,A77,5087.33,1,0
T156,A9,8794.47,18,0
T157,A50,8641.63,22,0
T158,A49,2769.71,3,0
T159,A77,7902.16,6,0
T160,A60,4155.27,0,0
T161,A68,9343.14,14,0
T162,A33,5082.3,10,0
T163,A71,8207.29,13,0
T164,A2,2835.56,4,0
T165,A88,2992.57,13,0
T166,A93,5873.51,22,0
T167,A15,9989.03,6,0
T168,A88,4901.51,13,0
T169,A69,1494.47,16,0
T170,A97,5390.42,19,0
T171,A35,3457.79,15,0
T172,A99,5523.65,23,0
T173,A83,5438.87,23,0
T174,A44,4558.89,1,0
T175,A15,3224.56,22,0
T176,A38,1894.64,4,0
T177,A56,6978.01,16,0
T178,A21,5722.26,6,0
T179,A59,2343.29,17,0
T180,A1,7757.69,10,0
T181,A93,446.04,21,0
T182,A93,7449.6,15,0
T183,A34,7055.23,16,1
T184,A65,8115.97,12,0
T185,A98,3866.93,10,0
T186,A23,6640.25,5,1
T187,A65,8209.27,14,0
T188,A14,9808.37,17,0
T189,A81,4958.33,10,0
T190,A39,379.83,17,0
T191,A82,5027.89,11,0
T192,A65,5905.9,21,0
T193,A78,8698.31,23,0
T194,A26,8743.16,21,0
T195,A20,4408.66,20,0
T196,A48,5264.25,22,0
T197,A98,4574.71,8,0
T198,A21,7227.21,19,0
T199,A70,4105.69,15,0
T200,A100,6551.27,6,0
T201,A68,1552.07,7,0
T202,A1,4700.21,8,0
T203,A77,9692.34,17,0
T204,A42,3392.23,9,0
T205,A63,6930.12,7,0
T206,A3,6501.87,9,0
T207,A15,8519.14,9,0
T208,A47,8524.89,22,0
T209,A40,8594.83,6,0
T210,A31,3806.29,22,0
T211,A8,3173.44,22,0
T212,A31,7189.99,15,0
T213,A73,7596.42,10,0
T214,A11,8725.11,15,0
T215,A11,368.63,11,0
T216,A94,693.52,17,0
T217,A63,6315.3,23,0
T218,A9,9210.08,8,0
T219,A98,9974.28,9,0
T220,A69,7470.2,3,1
T221,A99,4345.38,18,0
T222,A17,993.45,21,0
T223,A17,6341.14,17,0
T224,A85,8727.07,12,0
T225,A61,4442.35,12,0
T226,A71,6943.07,11,1
T227,A22,9035.21,4,0
T228,A34,469.45,9,0
T229,A68,7963.47,1,0
T230,A78,2940.74,9,0
T231,A55,3754.66,22,0
T232,A28,1464.24,2,0
T233,A70,5316.35,11,0
T234,A97,5663.62,14,0
T235,A94,7927.27,20,0
T236,A89,1708.14,8,0
T237,A26,798.89,23,0
T238,A92,8709.69,15,0
T239,A40,6200.91,6,0
T240,A52,2415.89,6,0
T241,A86,9129.16,17,0
T242,A84,1439.75,8,0
T243,A48,4616.89,17,0
T244,A57,2547.23,22,1
T245,A67,2560.71,8,0
T246,A58,103.88,4,1
T247,A16,8048.28,3,0
T248,A32,9013.08,19,0
T249,A29,6779.33,23,0
T250,A9,1588.18,18,0
T251,A44,4422.88,7,0
T252,A3,3462.2,7,0
T253,A76,5879.84,1,0
T254,A71,6393.0,21,0
T255,A30,4248.85,16,0
T256,A76,2508.48,7,0
T257,A29,8454.59,20,0
T258,A1,2000.18,7,0
T259,A10,3853.09,1,0
T260,A91,4837.25,3,0
T261,A81,2379.68,13,0
T262,A8,5723.51,10,0
T263,A30,5752.37,22,0
T264,A9,9926.99,15,0
T265,A5,2959.36,3,0
T266,A43,9779.67,21,0
T267,A10,6585.72,4,0
T268,A66,2752.06,0,0
T269,A31,5663.63,17,0
T270,A36,6861.14,5,0
T271,A86,7449.24,13,0
T272,A63,499.95,20,0
T273,A28,6068.0,15,0
T274,A70,4972.31,15,0
T275,A17,9042.51,20,0
T276,A93,2869.08,6,0
T277,A74,7990.61,9,0
T278,A74,6074.58,10,0
T279,A61,3529.69,9,0
T280,A32,6369.81,20,0
T281,A61,6212.7,1,0
T282,A53,6780.87,2,0
T283,A25,7212.07,20,0
T284,A13,6595.22,18,0
T285,A13,8384.99,7,0
T286,A85,6286.2,17,0
T287,A56,9035.0,23,0
T288,A46,6466.94,23,0
T289,A55,3096.24,1,0
T290,A53,4413.82,5,0
T291,A60,5799.94,13,0
T292,A94,7326.27,5,0
T293,A7,910.43,1,0
T294,A87,2958.15,12,0
T295,A84,7477.33,15,0
T296,A83,1764.64,5,0
T297,A13,1330.28,23,0
T298,A8,5398.68,9,0
T299,A52,9715.18,1,0
T300,A94,5313.22,0,0
T301,A44,9135.73,9,0
T302,A14,8306.42,18,0
T303,A32,2577.13,19,0
T304,A25,8248.65,3,0
T305,A25,4823.66,10,0
T306,A69,8066.82,9,0
T307,A58,7468.13,14,0
T308,A18,3393.77,20,0
T309,A55,1160.55,17,0
T310,A24,9629.3,16,0
T311,A36,1416.16,15,0
T312,A60,9665.34,4,0
T313,A32,8602.8,16,0
T314,A10,7244.92,14,0
T315,A57,9799.62,8,0
T316,A71,9673.02,6,0
T317,A13,8047.83,3,0
T318,A7,3664.09,10,0
T319,A84,7908.91,5,0
T320,A70,149.05,23,0
T321,A2,5370.36,14,0
T322,A12,4553.31,20,0
T323,A97,6731.56,8,0
T324,A31,6726.68,22,0
T325,A22,5849.76,5,0
T326,A53,8225.95,0,0
T327,A63,9403.52,23,0
T328,A62,1092.38,10,0
T329,A28,2345.88,9,0
T330,A52,260.0,18,0
T331,A8,8843.51,21,0
T332,A22,5618.46,6,0
T333,A49,9153.41,5,0
T334,A1,2221.46,19,0
T335,A50,641.54,20,0
T336,A34,8240.31,12,1
T337,A59,9094.78,13,0
T338,A37,3028.88,16,0
T339,A55,4088.88,10,0
T340,A90,1406.37,2,0
T341,A94,9463.15,12,0
T342,A72,3050.6,21,0
T343,A85,4931.32,3,0
T344,A92,980.95,5,0
T345,A63,8873.72,4,0
T346,A20,1365.28,15,0
T347,A25,4541.9,10,0
T348,A38,6708.16,7,0
T349,A28,7433.97,0,0
T350,A8,9460.28,8,0
T351,A75,4197.08,12,0
T352,A95,7425.27,7,0
T353,A70,1553.68,14,0
T354,A8,4154.7,8,0
T355,A96,999.23,10,1
T356,A41,4898.58,9,0
T357,A8,4087.08,18,0
T358,A7,9515.7,23,0
T359,A75,336.84,18,0
T360,A62,3711.59,0,0
T361,A65,4439.4,8,0
T362,A68,9506.05,20,0
T363,A21,8555.95,11,0
T364,A8,1002.55,22,1
T365,A66,6859.95,7,0
T366,A11,5449.21,1,0
T367,A24,9778.65,21,0
T368,A9,3593.15,3,0
T369,A77,3987.42,14,0
T370,A9,1906.19,9,0
T371,A87,1230.38,5,0
T372,A31,8481.85,12,0
T373,A52,4552.63,21,0
T374,A16,6631.06,16,0
T375,A73,6420.63,22,0
T376,A32,5975.49,9,0
T377,A75,223.36,22,0
T378,A77,7870.08,3,0
T379,A6,2443.25,20,0
T380,A80,1267.98,9,0
T381,A11,5650.13,11,0
T382,A54,695.42,19,0
T383,A85,7653.92,7,0
T384,A75,2079.5,7,0
T385,A73,2167.35,4,0
T386,A67,8698.26,15,0
T387,A41,3292.31,4,0
T388,A34,1484.07,14,0
T389,A27,9006.31,23,0
T390,A86,38.33,19,0
T391,A92,8585.48,11,0
T392,A41,1455.43,13,1
T393,A31,1308.62,22,0
T394,A34,2514.04,17,0
T395,A51,1753.23,15,0
T396,A17,6613.97,17,0
T397,A86,267.54,21,0
T398,A83,158.45,6,0
T399,A39,7901.95,7,0
T400,A59,2386.94,21,0
T401,A41,3244.48,19,0
T402,A97,1750.72,2,0
T403,A10,533.47,16,0
T404,A2,7419.76,14,0
T405,A59,5265.59,16,0
T406,A80,7459.2,22,0
T407,A73,4767.7,11,0
T408,A13,7782.39,2,0
T409,A10,5137.25,18,0
T410,A69,1099.45,3,0
T411,A28,5043.35,1,0
T412,A65,9454.7,17,1
T413,A34,443.22,16,0
T414,A17,7834.44,6,0
T415,A45,8671.14,18,0
T416,A9,5219.3,17,0
T417,A32,4585.84,4,0
T418,A48,9640.62,5,0
T419,A37,617.65,10,0
T420,A21,4795.03,16,0
T421,A57,4022.16,14,0
T422,A70,6864.11,3,0
T423,A91,4907.79,21,0
T424,A39,9097.91,6,0
T425,A79,744.17,22,0
T426,A84,817.1,18,0
T427,A68,6086.89,15,0
T428,A2,666.17,2,0
T429,A86,2757.41,16,0
T430,A71,6334.44,14,0
T431,A39,5488.08,1,0
T432,A85,3258.6,14,0
T433,A14,9946.33,4,0
T434,A18,5310.26,16,0
T435,A34,4542.62,13,0
T436,A15,6058.21,14,0
T437,A14,1000.79,18,0
T438,A96,7020.78,1,0
T439,A71,8529.4,17,0
T440,A20,6512.66,14,0
T441,A35,7691.94,21,0
T442,A37,7211.19,9,1
T443,A78,2158.08,23,1
T444,A27,4521.03,0,0
T445,A92,2292.65,12,0
T446,A44,3395.93,8,0
T447,A27,4540.45,0,0
T448,A88,4165.74,23,0
T449,A82,959.91,6,0
T450,A34,4273.37,18,0
T451,A65,6654.43,2,0
T452,A63,3749.27,1,0
T453,A33,1534.86,13,0
T454,A7,9230.62,11,0
T455,A12,680.66,22,0
T456,A82,8319.4,2,0
T457,A55,941.37,17,0
T458,A36,974.68,1,0
T459,A6,7390.57,2,0
T460,A1,8119.58,15,0
T461,A43,5568.14,1,1
T462,A99,5868.79,9,0
T463,A17,5620.25,13,1
T464,A82,3303.16,5,1
T465,A34,1231.09,4,0
T466,A21,3542.44,20,0
T467,A95,6656.75,23,0
T468,A57,7505.34,20,0
T469,A71,8682.24,13,0
T470,A91,7213.4,11,0
T471,A55,9684.3,12,0
T472,A72,6008.1,14,0
T473,A2,3522.95,12,0
T474,A15,5783.41,12,0
T475,A10,2135.26,2,0
T476,A89,6570.8,21,0
T477,A20,2250.21,21,0
T478,A70,1091.1,17,0
T479,A5,8455.28,4,0
T480,A48,3681.93,20,0
T481,A75,7628.43,11,0
T482,A71,5745.26,3,0
T483,A19,8074.14,5,0
T484,A56,8453.1,17,0
T485,A17,9745.72,12,0
T486,A6,8186.08,16,0
T487,A40,6139.6,4,0
T488,A47,6430.56,23,0
T489,A6,272.28,7,0
T490,A46,9291.55,0,0
T491,A27,8296.31,0,0
T492,A88,2681.8,9,0
T493,A32,1812.36,14,0
T494,A86,7029.96,21,0
T495,A14,3096.76,23,0
T496,A46,3404.85,17,0
T497,A100,71.0,13,0
T498,A72,8699.93,17,0
T499,A53,5667.55,12,0
T500,A80,4013.84,7,0
T501,A96,1427.33,7,0
T502,A20,6335.39,14,0
T503,A31,316.26,11,0
T504,A21,7463.66,4,0
T505,A23,2159.18,8,0
T506,A53,4204.13,6,0
T507,A4,3415.55,23,0
T508,A23,3706.83,3,0
T509,A95,7218.74,1,0
T510,A43,7770.59,21,0
T511,A53,5680.26,13,0
T512,A86,858.72,19,1
T513,A95,535.56,0,0
T514,A32,1582.52,7,0
T515,A35,6182.2,6,0
T516,A21,6742.95,2,0
T517,A90,2728.31,3,0
T518,A14,6622.77,19,1
T519,A49,4861.76,1,0
T520,A5,4426.02,14,0
T521,A61,2738.94,19,0
T522,A29,7551.88,21,0
T523,A26,1147.04,22,0
T524,A59,4304.84,1,0
T525,A45,2839.63,7,0
T526,A40,6788.08,23,0
T527,A30,4871.46,1,0
T528,A29,6674.65,12,0
T529,A4,463.72,14,0
T530,A85,3958.68,7,0
T531,A25,5997.26,17,0
T532,A52,86.79,6,0
T533,A43,3021.18,1,0
T534,A36,2120.23,4,0
T535,A9,1380.98,16,0
T536,A99,2562.64,9,0
T537,A36,3287.94,7,1
T538,A45,87.22,23,0
T539,A83,7472.67,18,0
T540,A66,1765.19,10,0
T541,A52,3808.27,18,0
T542,A87,7039.68,19,0
T543,A69,5007.62,21,0
T544,A43,8335.21,10,0
T545,A4,8063.94,7,0
T546,A15,730.03,9,0
T547,A34,8619.03,4,0
T548,A23,432.6,21,0
T549,A75,197.23,16,0
T550,A34,9212.41,7,0
T551,A5,8622.48,13,0
T552,A14,5761.83,9,0
T553,A77,5738.26,8,0
T554,A56,7097.89,1,0
T555,A45,4182.76,17,0
T556,A94,1160.58,18,0
T557,A41,218.36,23,0
T558,A56,3254.43,5,0
T559,A78,8015.21,20,0
T560,A66,6185.07,21,0
T561,A15,8321.94,13,0
T562,A50,9198.5,17,0
T563,A74,890.42,15,0
T564,A25,8446.4,1,0
T565,A33,2440.73,11,0
T566,A6,5892.82,20,0
T567,A91,5244.39,21,0
T568,A56,3963.71,12,0
T569,A1,3109.64,16,0
T570,A67,3401.74,10,1
T571,A69,3337.36,22,0
T572,A88,1689.65,13,0
T573,A93,5109.73,13,0
T574,A95,1149.13,4,0
T575,A95,5104.42,9,0
T576,A86,9060.17,12,0
T577,A26,3500.26,5,0
T578,A47,7276.52,17,0
T579,A56,8191.3,15,0
T580,A9,8152.22,7,0
T581,A86,2370.33,7,0
T582,A43,1472.98,9,0
T583,A80,1980.75,22,0
T584,A41,6027.97,4,0
T585,A85,7604.55,14,0
T586,A16,6558.54,1,0
T587,A93,1779.69,17,0
T588,A39,7730.75,13,0
T589,A65,4946.23,13,0
T590,A40,7546.91,17,0
T591,A86,7601.17,16,0
T592,A53,4494.56,4,0
T593,A42,9242.3,12,0
T594,A52,5649.27,7,0
T595,A90,6356.63,8,0
T596,A38,6248.97,6,0
T597,A71,8643.83,10,0
T598,A17,6275.9,20,0
T599,A25,1518.06,2,0
T600,A54,692.18,14,1
T601,A86,4427.66,11,0
T602,A49,3035.18,2,0
T603,A87,2753.99,17,1
T604,A96,571.16,23,0
T605,A23,5078.3,6,0
T606,A79,3110.97,1,0
T607,A73,4524.62,8,0
T608,A39,578.33,12,0
T609,A52,8318.65,21,0
T610,A71,776.54,19,0
T611,A1,8643.86,19,0
T612,A39,8554.38,1,0
T613,A37,6153.93,2,0
T614,A27,5075.61,6,0
T615,A56,4632.49,18,0
T616,A75,5547.62,23,0
T617,A78,7920.26,21,1
T618,A84,8959.81,17,0
T619,A42,4502.84,6,0
T620,A60,8100.06,15,0
T621,A57,6521.86,6,0
T622,A57,3222.05,10,0
T623,A87,4761.53,9,0
T624,A28,1517.1,0,0
T625,A66,628.12,6,0
T626,A61,1043.98,6,0
T627,A95,8992.28,23,0
T628,A22,3440.94,3,0
T629,A85,7146.01,23,0
T630,A11,5050.44,15,0
T631,A37,1733.86,7,0
T632,A66,2484.96,22,0
T633,A85,4383.21,19,0
T634,A82,4399.82,22,0
T635,A80,5232.25,6,0
T636,A43,1595.87,12,0
T637,A12,3734.79,7,0
T638,A97,2836.11,17,0
T639,A31,4093.61,10,0
T640,A87,3390.29,9,0
T641,A40,5982.88,12,0
T642,A29,7894.38,14,0
T643,A26,6476.58,17,0
T644,A19,668.46,20,0
T645,A4,954.11,11,1
T646,A6,6787.01,9,0
T647,A32,2848.63,8,0
T648,A61,7240.1,11,0
T649,A79,6569.08,16,0
T650,A99,9064.36,15,0
T651,A10,8734.06,14,0
T652,A59,3340.29,3,0
T653,A54,5831.57,23,0
T654,A81,1422.87,15,0
T655,A74,3504.71,10,0
T656,A25,9677.29,6,0
T657,A92,6987.81,11,0
T658,A90,3925.66,10,0
T659,A50,5954.46,13,0
T660,A64,9380.64,1,0
T661,A52,3102.72,18,0
T662,A32,3773.03,7,0
T663,A19,7918.7,23,0
T664,A84,8133.72,4,0
T665,A89,6704.46,0,0
T666,A1,8291.3,8,0
T667,A97,7390.36,17,0
T668,A99,6857.29,18,0
T669,A14,5268.67,18,0
T670,A100,6463.79,23,0
T671,A55,4239.83,13,0
T672,A29,3624.66,9,0
T673,A23,3632.35,4,0
T674,A90,1810.83,6,0
T675,A67,2149.78,10,0
T676,A60,9477.21,7,0
T677,A7,4867.85,12,0
T678,A72,2273.17,18,0
T679,A32,1384.28,7,0
T680,A16,780.88,15,1
T681,A59,8445.84,17,0
T682,A18,1020.4,20,0
T683,A60,7711.04,21,0
T684,A86,8352.85,10,0
T685,A68,8837.98,8,0
T686,A72,387.1,15,0
T687,A77,3374.28,23,0
T688,A41,7665.41,20,0
T689,A97,1319.18,23,0
T690,A57,3773.43,15,0
T691,A79,1630.85,14,0
T692,A93,8315.14,5,0
T693,A65,7713.27,23,0
T694,A55,8092.35,11,0
T695,A71,1663.74,5,0
T696,A58,4382.36,4,0
T697,A21,4114.48,23,0
T698,A96,6766.87,17,0
T699,A61,2382.93,15,0
T700,A58,4447.55,5,0
T701,A34,2856.43,17,0
T702,A97,7487.88,20,0
T703,A32,4494.79,1,0
T704,A82,5344.77,16,0
T705,A36,3101.58,1,0
T706,A99,8088.15,2,0
T707,A100,4695.47,21,0
T708,A67,8352.78,1,0
T709,A63,3684.73,0,0
T710,A81,9471.83,13,0
T711,A31,9844.55,4,0
T712,A36,4622.18,20,0
T713,A57,2824.9,7,0
T714,A10,3824.91,2,0
T715,A92,5279.32,22,1
T716,A37,9663.02,4,0
T717,A31,8170.74,0,1
T718,A35,8014.58,6,0
T719,A43,1392.6,16,0
T720,A41,2507.53,14,0
T721,A70,6415.38,11,0
T722,A11,8742.43,1,0
T723,A18,5549.86,19,0
T724,A20,1034.87,20,0
T725,A30,8460.46,21,0
T726,A50,8513.15,19,1
T727,A89,2857.78,15,0
T728,A20,7633.54,21,0
T729,A91,2735.19,15,0
T730,A28,9054.01,0,0
T731,A9,1482.01,0,0
T732,A54,4380.35,17,0
T733,A53,9464.67,17,0
T734,A43,2228.16,13,0
T735,A70,4516.77,0,0
T736,A60,3502.35,0,0
T737,A54,276.44,16,0
T738,A8,542.04,23,0
T739,A27,5025.05,8,0
T740,A54,2365.42,17,0
T741,A50,9945.31,9,0
T742,A99,3755.38,0,0
T743,A75,291.59,16,0
T744,A90,9308.95,22,0
T745,A3,8393.37,21,0
T746,A98,6503.11,13,1
T747,A74,7915.89,5,0
T748,A49,1384.62,3,0
T749,A62,2875.93,3,0
T750,A1,8299.32,16,0
T751,A46,6963.76,4,0
T752,A39,1396.54,7,0
T753,A97,7058.31,6,0
T754,A50,4491.53,19,0
T755,A54,62.46,16,0
T756,A69,801.47,8,0
T757,A96,2566.68,11,0
T758,A95,8351.28,8,0
T759,A70,5492.55,12,0
T760,A78,7275.08,2,0
T761,A29,5282.44,11,0
T762,A63,1120.76,12,0
T763,A29,2888.13,14,0
T764,A35,3018.5,18,0
T765,A56,487.02,7,0
T766,A63,4204.06,22,0
T767,A4,7941.05,7,0
T768,A50,4576.57,9,0
T769,A44,1117.47,21,0
T770,A86,9052.42,2,0
T771,A87,5971.42,20,0
T772,A52,174.19,20,0
T773,A93,5158.6,1,0
T774,A22,2426.96,2,1
T775,A60,1444.33,12,0
T776,A17,4298.1,12,0
T777,A80,6151.95,12,0
T778,A69,2413.24,17,0
T779,A4,4171.51,15,0
T780,A51,6647.07,1,0
T781,A76,865.28,20,0
T782,A73,9746.8,0,0
T783,A85,686.12,22,0
T784,A4,5265.33,5,0
T785,A11,5078.2,2,0
T786,A83,9883.43,15,1
T787,A55,5545.98,13,0
T788,A18,3910.63,20,0
T789,A60,4706.65,10,0
T790,A24,6360.35,18,0
T791,A7,9810.58,3,0
T792,A34,2543.97,16,0
T793,A49,172.26,1,0
T794,A42,7887.31,7,0
T795,A28,3454.58,6,0
T796,A59,7332.08,22,0
T797,A42,6286.29,18,0
T798,A44,7717.3,15,0
T799,A98,7354.52,8,0
T800,A49,3331.86,1,0
T801,A36,452.91,2,0
T802,A97,5464.68,21,0
T803,A54,8136.95,8,0
T804,A33,1759.14,17,0
T805,A11,7793.63,18,0
T806,A61,4651.58,21,0
T807,A3,6956.94,1,0
T808,A96,6321.04,5,0
T809,A70,8116.86,10,0
T810,A7,640.37,0,0
T811,A45,7764.14,6,0
T812,A29,4582.22,18,0
T813,A84,2941.49,4,0
T814,A9,447.62,22,0
T815,A100,2002.7,12,0
T816,A84,428.64,2,0
T817,A6,9334.38,9,0
T818,A97,5158.68,5,1
T819,A4,9891.34,18,0
T820,A32,5434.88,7,0
T821,A26,2540.6,18,0
T822,A3,7535.38,12,0
T823,A80,1919.12,21,0
T824,A20,3576.17,17,0
T825,A31,7810.61,10,0
T826,A17,8659.32,12,0
T827,A61,3325.93,23,0
T828,A86,1253.51,4,0
T829,A15,3686.51,22,0
T830,A73,8895.97,23,0
T831,A28,7435.64,2,0
T832,A60,8947.43,16,0
T833,A90,3872.58,23,0
T834,A33,9737.5,11,0
T835,A99,4967.07,1,0
T836,A48,4980.26,3,0
T837,A22,9243.86,13,0
T838,A78,5197.57,7,0
T839,A78,8013.47,2,0
T840,A96,7273.54,10,0
T841,A92,798.48,19,0
T842,A15,6028.51,19,0
T843,A100,8225.19,19,0
T844,A21,5459.29,12,0
T845,A40,3218.9,10,0
T846,A14,809.89,0,0
T847,A75,6612.58,20,0
T848,A4,3071.89,8,1
T849,A40,6030.19,14,0
T850,A74,4266.9,15,0
T851,A87,6900.75,7,0
T852,A49,3521.95,11,0
T853,A51,433.13,17,0
T854,A92,8701.67,12,0
T855,A26,3532.07,13,0
T856,A10,9981.52,5,0
T857,A76,2752.81,21,0
T858,A89,9800.47,18,0
T859,A81,9479.56,21,0
T860,A32,759.66,12,0
T861,A14,6378.75,2,0
T862,A90,3639.48,19,0
T863,A99,8012.95,9,0
T864,A39,6797.31,7,0
T865,A88,9528.37,22,0
T866,A77,1436.37,2,0
T867,A16,6079.65,2,0
T868,A73,7815.31,8,0
T869,A6,357.64,4,0
T870,A45,681.66,12,0
T871,A69,7787.37,22,0
T872,A55,3669.62,20,0
T873,A85,3834.72,4,0
T874,A48,5676.77,23,0
T875,A9,6054.9,12,0
T876,A65,6793.83,10,0
T877,A83,9488.75,11,0
T878,A44,3726.41,3,0
T879,A2,7633.21,2,0
T880,A54,5743.48,0,0
T881,A63,5299.3,9,0
T882,A14,3986.36,14,0
T883,A56,6499.11,11,0
T884,A47,2503.62,8,0
T885,A82,1143.35,3,0
T886,A59,7359.39,4,0
T887,A91,4995.45,2,1
T888,A20,3876.0,5,0
T889,A56,5621.11,13,0
T890,A23,2625.15,14,0
T891,A94,2610.29,17,0
T892,A67,4468.27,17,0
T893,A84,9963.69,16,0
T894,A35,2862.91,13,0
T895,A79,9165.62,3,0
T896,A69,4917.09,0,0
T897,A100,1235.15,2,0
T898,A62,8529.73,11,0
T899,A60,4525.91,17,0
T900,A56,8987.8,2,0
T901,A94,4456.66,19,0
T902,A76,887.03,19,0
T903,A35,6822.47,10,0
T904,A42,8456.76,12,0
T905,A32,3202.68,0,0
T906,A12,3480.78,9,1
T907,A36,658.74,13,0
T908,A58,5426.29,12,0
T909,A32,8914.4,2,0
T910,A97,8515.11,23,0
T911,A60,7120.97,17,0
T912,A73,9273.97,7,0
T913,A79,6380.62,18,0
T914,A86,7939.03,16,0
T915,A49,5092.47,5,0
T916,A44,1222.41,21,0
T917,A4,2017.79,12,0
T918,A64,1397.38,5,0
T919,A42,7905.83,4,0
T920,A24,272.58,8,0
T921,A63,5544.67,9,0
T922,A28,3695.42,8,0
T923,A46,8038.58,15,0
T924,A34,5520.95,4,0
T925,A44,6123.36,2,0
T926,A36,871.29,5,0
T927,A77,3099.81,13,1
T928,A90,9995.95,8,1
T929,A36,7191.51,13,0
T930,A72,5261.7,9,0
T931,A2,7693.95,15,0
T932,A67,8235.16,2,0
T933,A25,746.77,11,0
T934,A11,9724.07,8,0
