student_id,subject_code,assessment_1,assessment_2,final_mark,grade
S089,IDS201,84,85,80,Distinction
S089,ITEC200,79,89,71,Credit
S090,MAT101,94,98,79,Distinction
S090,IDS201,70,70,74,Credit
S090,ITEC200,49,42,47,Fail
S091,IDS201,95,88,87,High Distinction
S091,HI6039,80,84,72,Credit
S091,MAT101,69,66,58,Pass
S092,IDS201,83,85,64,Pass
S092,ITEC200,60,60,50,Pass
S093,HI6039,65,61,75,Distinction
S093,IDS201,90,96,84,Distinction
S093,ITEC200,95,94,91,High Distinction
S093,MAT101,70,79,84,Distinction
S094,ITEC200,90,92,85,High Distinction
S094,HI6039,93,95,77,Distinction
S095,ITEC200,43,47,43,Fail
S095,HI6039,58,57,56,Pass
S095,IDS201,50,56,54,Pass
S095,MAT101,61,55,74,Credit
S096,IDS201,59,66,57,Pass
S096,MAT101,70,69,75,Distinction
S096,HI6039,84,78,79,Distinction
S097,ITEC200,89,99,77,Distinction
S097,IDS201,82,76,65,Credit
S097,MAT101,69,65,65,Credit
S098,ITEC200,95,86,92,High Distinction
S098,HI6039,69,65,59,Pass
S098,MAT101,37,36,49,Fail
S099,IDS201,94,97,76,Distinction
S099,MAT101,38,33,50,Pass
S099,HI6039,66,62,64,Pass
S099,ITEC200,74,68,69,Credit
S100,MAT101,40,38,62,Pass
S100,ITEC200,47,53,66,Credit
S101,HI6039,55,52,64,Pass
S101,MAT101,37,38,57,Pass
S102,ITEC200,78,69,70,Credit
S102,IDS201,68,77,58,Pass
S102,HI6039,56,57,69,Credit
S103,MAT101,81,86,86,High Distinction
S103,ITEC200,64,69,56,Pass
S103,HI6039,51,56,48,Fail
S103,IDS201,42,51,41,Fail
S104,HI6039,85,82,64,Pass
S104,MAT101,54,51,69,Credit
S104,ITEC200,91,100,97,High Distinction
S104,IDS201,56,63,60,Pass
S105,IDS201,68,71,68,Credit
S105,ITEC200,67,74,80,Distinction
S106,HI6039,43,33,61,Pass
S106,IDS201,86,79,83,Distinction
S106,ITEC200,40,32,42,Fail
S107,ITEC200,76,77,77,Distinction
S107,HI6039,76,71,74,Credit
S107,IDS201,69,68,65,Credit
S108,IDS201,48,46,46,Fail
S108,MAT101,55,47,69,Credit
S108,HI6039,61,52,60,Pass
S108,ITEC200,52,55,52,Pass
S109,ITEC200,59,49,58,Pass
S109,HI6039,65,68,78,Distinction
S109,IDS201,80,85,83,Distinction
S110,MAT101,75,70,65,Credit
S110,IDS201,47,57,46,Fail
S110,ITEC200,55,46,69,Credit
S110,HI6039,59,63,75,Distinction
S111,MAT101,48,57,50,Pass
S111,ITEC200,63,58,61,Pass
S112,IDS201,57,65,61,Pass
S112,ITEC200,85,79,74,Credit
S112,HI6039,44,35,40,Fail
S113,MAT101,57,65,52,Pass
S113,IDS201,69,79,67,Credit
S113,HI6039,80,88,65,Credit
S113,ITEC200,50,55,45,Fail
S114,MAT101,73,82,79,Distinction
S114,ITEC200,70,65,72,Credit
S114,IDS201,71,80,82,Distinction
S115,MAT101,61,64,78,Distinction
S115,HI6039,71,65,74,Credit
S115,ITEC200,36,46,45,Fail
S116,HI6039,35,37,54,Pass
S116,IDS201,52,46,59,Pass
S116,ITEC200,66,59,73,Credit
S116,MAT101,45,55,62,Pass
S117,HI6039,38,29,52,Pass
S117,ITEC200,82,89,84,Distinction
S117,MAT101,63,58,65,Credit
S118,MAT101,51,49,58,Pass
S118,ITEC200,35,26,54,Pass
S118,HI6039,82,72,62,Pass
S118,IDS201,84,81,70,Credit
S119,IDS201,93,90,86,High Distinction
S119,HI6039,49,55,67,Credit
S119,MAT101,57,59,74,Credit
S119,ITEC200,66,67,78,Distinction
S120,ITEC200,91,91,67,Credit
S120,MAT101,79,87,71,Credit
S120,IDS201,69,75,57,Pass
S999,IDS201,72,76,74,Credit
S998,MAT101,61,58,60,Pass
