OrderID,Date,State,Store,Category,Product,UnitsSold,UnitPrice,Revenue,Cost,Profit,CustomerType,PaymentMethod
ORD0102,2025-10-28,South Australia,Mount Gambier,Electronics,Headphones,10,816.36,8163.6,4125.0,4038.6,Casual,Cash
ORD0103,2025-02-24,Queensland,Cairns,Fashion,Backpack,15,1015.91,15238.65,7919.92,7318.73,Casual,Cash
ORD0104,2025-07-22,Victoria,Geelong,Groceries,Coffee Beans,19,362.09,6879.71,4779.66,2100.05,Member,Online
ORD0105,2025-11-07,Queensland,Brisbane City,Groceries,Organic Snacks,20,896.75,17935.0,13298.69,4636.31,Casual,Card
ORD0106,2025-08-14,Queensland,Brisbane City,Home Appliances,Air Fryer,5,757.62,3788.1,2902.41,885.69,Member,Cash
ORD0107,2025-04-13,New South Wales,Newcastle,Sports,Tennis Racket,3,1092.46,3277.38,1849.59,1427.79,Casual,Card
ORD0108,2025-06-23,Victoria,Ballarat,Sports,Yoga Mat,6,315.79,1894.74,1399.53,495.21,Casual,Cash
ORD0109,2025-07-07,New South Wales,Parramatta,Electronics,Tablet,8,1033.57,8268.56,5816.73,2451.83,Casual,Online
ORD0110,2025-07-15,New South Wales,Parramatta,Electronics,Smartphone,18,157.07,2827.26,1637.0,1190.26,Casual,Online
ORD0111,2025-04-24,Queensland,Brisbane City,Home Appliances,Coffee Machine,1,747.26,747.26,582.94,164.32,Casual,Online
ORD0112,2025-09-10,New South Wales,Newcastle,Fashion,Backpack,14,148.84,2083.76,970.76,1113.0,Member,Cash
ORD0113,2025-03-21,New South Wales,Sydney CBD,Home Appliances,Vacuum Cleaner,13,549.84,7147.92,4893.97,2253.95,Casual,Online
ORD0114,2025-05-01,South Australia,Adelaide Central,Fashion,Jeans,9,48.93,440.37,255.28,185.09,Casual,Cash
ORD0115,2025-02-16,Queensland,Brisbane City,Sports,Yoga Mat,2,483.79,967.58,499.69,467.89,Member,Cash
ORD0116,2025-04-16,Victoria,Ballarat,Groceries,Organic Snacks,2,946.29,1892.58,1013.0,879.58,Member,Online
ORD0117,2025-03-16,New South Wales,Newcastle,Home Appliances,Vacuum Cleaner,8,400.99,3207.92,1609.23,1598.69,Member,Cash
ORD0118,2025-05-02,Victoria,Ballarat,Sports,Tennis Racket,4,796.66,3186.64,1462.74,1723.9,Member,Cash
ORD0119,2025-02-02,Western Australia,Fremantle,Electronics,Tablet,9,72.35,651.15,462.06,189.09,Member,Online
ORD0120,2025-12-04,South Australia,Mount Gambier,Sports,Football,15,609.57,9143.55,7140.16,2003.39,Member,Online
ORD0121,2025-02-25,Western Australia,Fremantle,Fashion,Sneakers,2,1198.32,2396.64,1789.22,607.42,Casual,Online
ORD0122,2025-11-21,South Australia,Mount Gambier,Electronics,Laptop,11,733.87,8072.57,3818.24,4254.33,Casual,Online
ORD0123,2025-11-30,Western Australia,Fremantle,Fashion,Backpack,15,611.61,9174.15,5509.72,3664.43,Member,Online
ORD0124,2025-02-18,Western Australia,Perth CBD,Fashion,Jeans,8,502.44,4019.52,2972.82,1046.7,Casual,Cash
ORD0125,2025-02-16,Queensland,Gold Coast,Sports,Yoga Mat,12,1144.78,13737.36,9484.1,4253.26,Casual,Card
ORD0126,2025-03-04,New South Wales,Sydney CBD,Fashion,Sneakers,12,976.01,11712.12,7551.15,4160.97,Casual,Online
ORD0127,2025-12-03,South Australia,Mount Gambier,Fashion,Sneakers,10,724.49,7244.9,4151.88,3093.02,Member,Card
ORD0128,2025-10-15,South Australia,Adelaide Central,Electronics,Smartphone,18,447.4,8053.2,5773.44,2279.76,Member,Cash
ORD0129,2025-06-29,Western Australia,Perth CBD,Groceries,Coffee Beans,1,224.7,224.7,156.38,68.32,Casual,Cash
ORD0130,2025-09-29,New South Wales,Sydney CBD,Home Appliances,Coffee Machine,3,178.83,536.49,360.31,176.18,Member,Card
ORD0131,2025-11-02,Victoria,Geelong,Fashion,Jeans,11,197.32,2170.52,1213.48,957.04,Casual,Online
ORD0132,2025-08-06,New South Wales,Sydney CBD,Home Appliances,Vacuum Cleaner,20,69.22,1384.4,662.51,721.89,Casual,Online
ORD0133,2025-05-26,South Australia,Mount Gambier,Fashion,Backpack,7,908.38,6358.66,3114.7,3243.96,Casual,Card
ORD0134,2025-04-15,Western Australia,Fremantle,Groceries,Coffee Beans,2,272.42,544.84,432.91,111.93,Member,Card
ORD0135,2025-03-08,Queensland,Brisbane City,Home Appliances,Air Fryer,10,400.47,4004.7,1812.95,2191.75,Casual,Card
ORD0136,2025-08-24,South Australia,Adelaide Central,Groceries,Coffee Beans,3,482.51,1447.53,1027.33,420.2,Casual,Card
ORD0137,2025-07-27,New South Wales,Parramatta,Groceries,Milk,19,491.26,9333.94,6291.54,3042.4,Casual,Card
ORD0138,2025-10-29,New South Wales,Parramatta,Home Appliances,Coffee Machine,12,114.87,1378.44,1027.72,350.72,Member,Cash
ORD0139,2025-11-21,South Australia,Adelaide Central,Fashion,Backpack,11,273.67,3010.37,2175.57,834.8,Member,Online
ORD0140,2025-02-22,New South Wales,Newcastle,Groceries,Protein Bars,12,427.81,5133.72,4031.91,1101.81,Member,Card
ORD0141,2025-11-18,Victoria,Geelong,Home Appliances,Vacuum Cleaner,20,191.92,3838.4,2747.16,1091.24,Member,Card
ORD0142,2025-06-11,South Australia,Mount Gambier,Groceries,Milk,19,775.16,14728.04,11713.01,3015.03,Casual,Online
ORD0143,2025-09-17,Victoria,Geelong,Electronics,Headphones,15,761.35,11420.25,8322.11,3098.14,Member,Cash
ORD0144,2025-02-16,New South Wales,Parramatta,Fashion,Jeans,2,77.7,155.4,115.17,40.23,Member,Online
ORD0145,2025-11-06,Western Australia,Fremantle,Fashion,Sneakers,15,1091.77,16376.55,10646.07,5730.48,Member,Cash
ORD0146,2025-11-27,South Australia,Adelaide Central,Electronics,Headphones,4,975.05,3900.2,2898.17,1002.03,Member,Online
ORD0147,2025-05-25,Victoria,Melbourne Central,Home Appliances,Coffee Machine,15,633.64,9504.6,6305.65,3198.95,Casual,Cash
ORD0148,2025-05-10,South Australia,Mount Gambier,Sports,Football,11,88.44,972.84,469.96,502.88,Casual,Cash
ORD0149,2025-12-24,Western Australia,Perth CBD,Sports,Football,19,799.7,15194.3,11712.7,3481.6,Casual,Online
ORD0150,2025-12-10,South Australia,Adelaide Central,Groceries,Organic Snacks,10,675.12,6751.2,4558.56,2192.64,Casual,Card
ORD0151,2025-09-06,Western Australia,Perth CBD,Fashion,Backpack,1,441.49,441.49,226.52,214.97,Member,Cash
ORD0152,2025-06-22,Victoria,Melbourne Central,Home Appliances,Vacuum Cleaner,3,361.99,1085.97,788.24,297.73,Member,Online
ORD0153,2025-08-13,Western Australia,Perth CBD,Groceries,Milk,5,203.07,1015.35,752.34,263.01,Member,Online
ORD0154,2025-10-01,New South Wales,Parramatta,Sports,Tennis Racket,15,736.61,11049.15,7881.77,3167.38,Casual,Card
ORD0155,2025-05-25,Victoria,Geelong,Fashion,Jacket,12,817.19,9806.28,6370.62,3435.66,Casual,Cash
ORD0156,2025-10-11,South Australia,Mount Gambier,Home Appliances,Vacuum Cleaner,20,174.69,3493.8,1877.92,1615.88,Casual,Cash
ORD0157,2025-03-17,New South Wales,Newcastle,Groceries,Organic Snacks,10,109.81,1098.1,555.76,542.34,Casual,Online
ORD0158,2025-07-11,South Australia,Adelaide Central,Home Appliances,Coffee Machine,12,1117.26,13407.12,7980.1,5427.02,Casual,Online
ORD0159,2025-03-12,Victoria,Geelong,Electronics,Smartphone,8,43.54,348.32,270.22,78.1,Casual,Card
ORD0160,2025-05-12,New South Wales,Parramatta,Fashion,Jacket,16,543.84,8701.44,3931.64,4769.8,Member,Card
ORD0161,2025-05-03,Victoria,Melbourne Central,Groceries,Milk,4,933.65,3734.6,1991.19,1743.41,Member,Card
ORD0162,2025-03-15,South Australia,Mount Gambier,Electronics,Laptop,16,720.12,11521.92,5251.14,6270.78,Member,Online
ORD0163,2025-07-04,Queensland,Gold Coast,Electronics,Smartphone,8,689.09,5512.72,2842.14,2670.58,Member,Online
ORD0164,2025-05-10,New South Wales,Newcastle,Groceries,Organic Snacks,13,1049.26,13640.38,6346.01,7294.37,Casual,Cash
ORD0165,2025-01-23,New South Wales,Parramatta,Electronics,Smartphone,8,882.2,7057.6,4727.82,2329.78,Casual,Card
ORD0166,2025-02-02,Queensland,Cairns,Sports,Tennis Racket,15,1177.17,17657.55,10903.29,6754.26,Member,Card
ORD0167,2025-09-21,South Australia,Adelaide Central,Sports,Tennis Racket,2,951.42,1902.84,1446.21,456.63,Casual,Cash
ORD0168,2025-06-19,South Australia,Mount Gambier,Sports,Football,7,350.47,2453.29,1844.26,609.03,Member,Online
ORD0169,2025-04-06,Queensland,Brisbane City,Sports,Fitness Tracker,13,894.54,11629.02,8874.37,2754.65,Casual,Cash
ORD0170,2025-05-31,South Australia,Mount Gambier,Sports,Yoga Mat,3,875.23,2625.69,1254.09,1371.6,Member,Online
ORD0171,2025-12-20,Queensland,Brisbane City,Electronics,Smartphone,10,374.73,3747.3,2476.66,1270.64,Casual,Card
ORD0172,2025-12-10,South Australia,Mount Gambier,Fashion,Sneakers,12,741.67,8900.04,5359.86,3540.18,Member,Card
ORD0173,2025-03-06,South Australia,Mount Gambier,Groceries,Protein Bars,1,179.91,179.91,119.22,60.69,Casual,Card
ORD0174,2025-08-19,New South Wales,Sydney CBD,Sports,Yoga Mat,13,1139.87,14818.31,6836.2,7982.11,Member,Online
ORD0175,2025-05-23,Queensland,Gold Coast,Fashion,Sneakers,19,173.86,3303.34,1910.76,1392.58,Casual,Online
ORD0176,2025-05-14,Victoria,Melbourne Central,Electronics,Tablet,16,626.12,10017.92,7711.19,2306.73,Member,Cash
ORD0177,2025-03-30,South Australia,Adelaide Central,Groceries,Coffee Beans,16,248.21,3971.36,1975.77,1995.59,Member,Cash
ORD0178,2025-12-31,South Australia,Adelaide Central,Sports,Yoga Mat,3,664.5,1993.5,1099.67,893.83,Casual,Card
ORD0179,2025-01-14,Victoria,Geelong,Groceries,Protein Bars,4,1182.31,4729.24,3439.21,1290.03,Member,Cash
ORD0180,2025-06-08,Queensland,Cairns,Groceries,Coffee Beans,15,966.36,14495.4,9321.65,5173.75,Member,Card
ORD0181,2025-02-07,South Australia,Mount Gambier,Groceries,Milk,14,989.77,13856.78,6593.23,7263.55,Casual,Online
ORD0182,2025-08-10,South Australia,Mount Gambier,Groceries,Coffee Beans,5,1054.77,5273.85,3813.48,1460.37,Member,Card
ORD0183,2025-09-23,Western Australia,Perth CBD,Electronics,Tablet,10,205.94,2059.4,1159.3,900.1,Member,Cash
ORD0184,2025-11-25,Queensland,Brisbane City,Sports,Tennis Racket,18,336.6,6058.8,4051.87,2006.93,Member,Online
ORD0185,2025-01-22,Victoria,Ballarat,Groceries,Protein Bars,6,793.89,4763.34,3344.92,1418.42,Casual,Online
ORD0186,2025-11-18,New South Wales,Sydney CBD,Electronics,Smartphone,7,922.68,6458.76,3848.16,2610.6,Member,Cash
ORD0187,2025-02-07,Western Australia,Fremantle,Sports,Fitness Tracker,8,967.58,7740.64,5339.08,2401.56,Casual,Cash
ORD0188,2025-06-13,New South Wales,Sydney CBD,Fashion,Jeans,16,562.69,9003.04,5123.34,3879.7,Member,Cash
ORD0189,2025-05-17,Queensland,Gold Coast,Home Appliances,Air Fryer,17,678.36,11532.12,6477.48,5054.64,Casual,Card
ORD0190,2025-03-23,South Australia,Adelaide Central,Home Appliances,Microwave,2,355.35,710.7,415.37,295.33,Casual,Card
ORD0191,2025-09-12,Queensland,Cairns,Sports,Tennis Racket,6,602.94,3617.64,2279.67,1337.97,Casual,Cash
ORD0192,2025-09-11,New South Wales,Sydney CBD,Fashion,Jeans,8,266.02,2128.16,1220.53,907.63,Member,Cash
ORD0193,2025-07-07,Western Australia,Fremantle,Sports,Football,4,522.8,2091.2,1586.93,504.27,Casual,Cash
ORD0194,2025-05-24,New South Wales,Parramatta,Electronics,Tablet,12,668.34,8020.08,3815.44,4204.64,Casual,Online
ORD0195,2025-04-12,Western Australia,Perth CBD,Home Appliances,Microwave,13,454.11,5903.43,4695.44,1207.99,Casual,Card
ORD0196,2025-08-22,Western Australia,Fremantle,Groceries,Organic Snacks,2,56.31,112.62,78.81,33.81,Casual,Online
ORD0197,2025-06-03,Victoria,Ballarat,Groceries,Protein Bars,11,1118.33,12301.63,6907.19,5394.44,Casual,Online
ORD0198,2025-12-11,Western Australia,Fremantle,Groceries,Milk,19,366.75,6968.25,5125.23,1843.02,Casual,Cash
ORD0199,2025-01-27,New South Wales,Parramatta,Groceries,Coffee Beans,1,720.32,720.32,391.09,329.23,Member,Online
ORD0200,2025-01-10,Western Australia,Fremantle,Home Appliances,Coffee Machine,5,987.78,4938.9,2641.17,2297.73,Member,Card
ORD0201,2025-02-01,South Australia,Mount Gambier,Fashion,Jacket,14,831.7,11643.8,6912.13,4731.67,Casual,Online
ORD0202,2025-09-30,Victoria,Ballarat,Home Appliances,Air Fryer,16,635.32,10165.12,5690.57,4474.55,Member,Cash
ORD0203,2025-06-02,Queensland,Cairns,Sports,Yoga Mat,20,586.17,11723.4,9203.67,2519.73,Casual,Online
ORD0204,2025-03-04,Victoria,Geelong,Sports,Tennis Racket,16,387.28,6196.48,3544.89,2651.59,Casual,Cash
ORD0205,2025-08-15,Western Australia,Fremantle,Fashion,Backpack,5,355.64,1778.2,979.2,799.0,Member,Cash
ORD0206,2025-02-25,Queensland,Cairns,Fashion,Jacket,7,995.26,6966.82,3796.2,3170.62,Casual,Card
ORD0207,2025-06-19,Western Australia,Perth CBD,Home Appliances,Microwave,17,278.55,4735.35,2516.8,2218.55,Member,Cash
ORD0208,2025-11-30,South Australia,Adelaide Central,Home Appliances,Microwave,18,1173.71,21126.78,10674.93,10451.85,Casual,Cash
ORD0209,2025-01-20,Victoria,Geelong,Sports,Yoga Mat,2,1090.44,2180.88,1049.68,1131.2,Member,Online
ORD0210,2025-01-05,Victoria,Geelong,Home Appliances,Microwave,13,947.67,12319.71,6347.23,5972.48,Casual,Card
ORD0211,2025-09-16,Queensland,Cairns,Groceries,Organic Snacks,11,348.63,3834.93,3053.31,781.62,Casual,Card
ORD0212,2025-04-06,South Australia,Mount Gambier,Home Appliances,Microwave,11,203.37,2237.07,1366.0,871.07,Casual,Online
ORD0213,2025-09-21,New South Wales,Newcastle,Sports,Yoga Mat,19,812.54,15438.26,7990.94,7447.32,Casual,Cash
ORD0214,2025-05-14,Queensland,Brisbane City,Fashion,Sneakers,6,1178.21,7069.26,4362.5,2706.76,Member,Card
ORD0215,2025-12-01,South Australia,Adelaide Central,Fashion,Backpack,11,369.32,4062.52,2855.99,1206.53,Member,Cash
ORD0216,2025-03-02,Queensland,Cairns,Home Appliances,Microwave,4,563.82,2255.28,1140.95,1114.33,Casual,Online
